login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
midudev,midudev/accordion-menu,2018-10-08T13:41:57Z,2,2,JavaScript,True,True,
midudev,midudev/actas-2024,2024-08-01T15:04:40Z,42,42,,True,True,
midudev,midudev/adventjs-issues,2021-12-01T15:27:21Z,33,33,,True,True,
midudev,midudev/algolia-pwa-ecommerce,2022-01-03T20:17:22Z,24,24,TypeScript,True,True,mit
midudev,midudev/ant-design,2018-09-13T15:08:22Z,2,2,TypeScript,True,True,mit
midudev,midudev/aprende-javascript-problemas,2023-04-20T08:10:22Z,122,122,,True,True,
midudev,midudev/aprende-react-js,2016-09-14T17:55:08Z,18,18,CSS,True,True,
midudev,midudev/aprendesql.dev,2023-12-21T16:38:03Z,26,26,,True,True,
midudev,midudev/aprendiendo-electron,2022-08-18T19:36:46Z,25,25,JavaScript,True,True,
midudev,midudev/aprendiendo-react,2019-05-26T16:01:51Z,7620,7620,TypeScript,False,False,
midudev,midudev/aprendiendogit.dev,2024-05-07T16:38:55Z,53,53,Astro,True,True,
midudev,midudev/aprendiendoreact.com,2018-05-17T16:14:42Z,5,5,JavaScript,True,True,
midudev,midudev/astro-5-dev-books,2024-09-18T17:34:39Z,81,81,Astro,True,True,
midudev,midudev/awesome-dev-tools,2023-06-02T12:58:13Z,33,33,,True,True,
midudev,midudev/awesome-uses,2020-01-08T18:31:06Z,3,3,,True,True,
midudev,midudev/black-friday-app-autocomplete,2021-11-29T11:59:16Z,20,20,JavaScript,True,True,
midudev,midudev/bun-deploy-app,2023-09-15T15:47:17Z,17,17,TypeScript,True,True,
midudev,midudev/campanadas.dev,2022-11-09T14:23:58Z,13,13,TypeScript,True,True,
midudev,midudev/cards,2020-04-21T18:29:52Z,4,4,,True,True,mit
midudev,midudev/chat-gpt-plugins-javascript,2023-05-30T17:55:54Z,57,57,JavaScript,True,True,
midudev,midudev/chat-hackathon,2022-07-03T08:56:35Z,20,20,Svelte,True,True,
midudev,midudev/chat-with-pdf,2024-02-01T19:00:48Z,106,106,TypeScript,True,True,
midudev,midudev/cloudinary-hackathon-astro-example,2024-10-08T17:46:11Z,33,33,Astro,True,True,
midudev,midudev/code-sandbox-midudev,2018-12-27T14:50:22Z,3,3,CSS,True,True,
midudev,midudev/codi.link,2021-07-26T20:03:26Z,640,640,JavaScript,True,True,other
midudev,midudev/Consent-String-SDK-JS,2019-12-05T12:01:08Z,2,2,,True,True,mit
midudev,midudev/contact-form-vercel-storage,2023-05-02T18:05:40Z,27,27,TypeScript,True,True,
midudev,midudev/contributor-faces,2019-02-22T19:17:51Z,3,3,JavaScript,True,True,mit
midudev,midudev/cost-of-modules,2020-02-03T19:01:18Z,3,3,,True,True,mit
midudev,midudev/covid-19-spread-simulator,2020-03-15T21:54:36Z,138,138,JavaScript,True,True,isc
midudev,midudev/covid-vacuna,2021-01-19T21:23:48Z,365,365,JavaScript,False,False,apache-2.0
midudev,midudev/crono,2016-02-07T11:09:02Z,3,3,HTML,True,True,mit
midudev,midudev/curso-gratuito-svelte,2020-01-12T19:45:30Z,32,32,,True,True,
midudev,midudev/curso-html-desde-cero,2023-10-11T08:00:09Z,55,55,,True,True,
midudev,midudev/curso-nextjs-twitter-clone,2020-07-26T20:49:22Z,343,343,,True,True,
midudev,midudev/curso-node-js,2023-07-20T07:26:46Z,1325,1325,JavaScript,False,False,
midudev,midudev/curso-php,2024-04-03T17:48:34Z,149,149,PHP,True,True,
midudev,midudev/curso-platzi-react-avanzado,2019-04-17T13:50:29Z,183,183,JavaScript,True,True,
midudev,midudev/curso-udemy-react,2017-11-18T16:30:16Z,10,10,JavaScript,True,True,
midudev,midudev/cursoreact.dev,2024-05-23T11:45:04Z,193,193,Astro,True,True,
midudev,midudev/delacruz-dev,2020-07-20T13:56:19Z,2,2,,True,True,
midudev,midudev/deno-fresh-blog,2022-12-20T19:12:49Z,20,20,TypeScript,True,True,
midudev,midudev/deno-wordle,2022-02-04T21:34:24Z,22,22,TypeScript,True,True,
midudev,midudev/devfolio,2022-11-07T14:33:21Z,13,13,,True,True,
midudev,midudev/devsleague.com,2023-04-17T20:40:11Z,38,38,JavaScript,True,True,
midudev,midudev/DianaIT,2020-08-07T08:11:55Z,2,2,,True,True,
midudev,midudev/docs,2020-11-06T15:28:02Z,3,3,JavaScript,True,False,cc-by-4.0
midudev,midudev/dotfiles,2020-08-19T08:58:14Z,4,4,,True,True,
midudev,midudev/dR,2013-11-14T20:40:43Z,1,1,CSS,True,True,mit
midudev,midudev/edgar-accordion,2020-01-14T16:19:30Z,2,2,,True,True,
midudev,midudev/ejercicios-logica-de-programacion,2024-10-01T09:20:42Z,52,52,,True,True,
midudev,midudev/el-frontend-del-futuro,2018-11-29T09:14:59Z,20,20,JavaScript,True,True,
midudev,midudev/eloquent-javascript-es,2024-03-09T17:17:48Z,474,474,HTML,True,True,
midudev,midudev/esbuild-null-loader,2020-11-29T18:34:52Z,3,3,,True,True,mit
midudev,midudev/esland-web,2023-12-28T17:06:46Z,397,397,TypeScript,True,True,
midudev,midudev/express-typescript,2021-06-06T19:53:46Z,51,51,TypeScript,True,True,
midudev,midudev/extract-css,2019-02-19T11:41:26Z,3,3,HTML,True,True,
midudev,midudev/Firefox-OS-calculator,2013-11-14T20:48:03Z,1,1,JavaScript,True,True,mit
midudev,midudev/frontend-mentor-challenges,2022-09-20T18:43:59Z,61,61,Astro,True,True,
midudev,midudev/github-markdown-css,2019-12-18T13:15:47Z,5,5,,True,False,mit
midudev,midudev/github-status-travis,2018-10-29T20:11:42Z,2,2,JavaScript,True,True,
midudev,midudev/google-meet-clone,2022-04-22T19:50:58Z,39,39,JavaScript,True,True,
midudev,midudev/hackathons,2022-05-05T14:24:19Z,8,8,,True,True,
midudev,midudev/hackaton-vercel-2024,2024-07-09T07:47:26Z,212,212,TypeScript,False,False,
midudev,midudev/hacker-news-htm,2019-03-02T11:11:22Z,3,3,CSS,True,True,
midudev,midudev/html-to-react-native,2016-01-02T14:42:46Z,4,4,CoffeeScript,True,True,mit
midudev,midudev/hyper,2019-08-16T09:13:44Z,2,2,JavaScript,True,False,mit
midudev,midudev/hyper-infoline,2019-08-16T09:27:33Z,2,2,,True,True,
midudev,midudev/i18next.com,2016-04-05T13:58:51Z,2,2,JavaScript,True,False,
midudev,midudev/image-to-code,2023-11-30T18:48:14Z,57,57,TypeScript,True,True,
midudev,midudev/infojobs-hackathon,2023-05-16T18:18:58Z,43,43,TypeScript,True,True,
midudev,midudev/javascript-100-proyectos,2024-02-14T12:00:57Z,2186,2186,HTML,True,True,other
midudev,midudev/jscodemods,2019-04-08T06:54:55Z,2,2,JavaScript,True,True,
midudev,midudev/jsconf.com,2024-09-13T09:24:58Z,6,6,Pug,True,True,apache-2.0
midudev,midudev/jsconf.es,2024-07-19T10:40:40Z,33,33,Astro,True,True,
midudev,midudev/kaxi,2013-06-04T16:15:08Z,1,1,CoffeeScript,True,True,
midudev,midudev/kings-league-project,2023-01-03T17:20:23Z,1515,1515,JavaScript,True,True,mit
midudev,midudev/komic.app,2019-07-08T19:10:21Z,8,8,CSS,True,True,
midudev,midudev/la-velada-landing,2023-05-17T18:01:12Z,104,104,Astro,True,True,
midudev,midudev/la-velada-web-oficial,2024-02-21T17:15:07Z,1388,1388,Astro,False,False,other
midudev,midudev/landing-infojobs,2024-10-16T17:28:51Z,107,107,Astro,True,True,
midudev,midudev/landing-tesla,2023-05-12T18:03:28Z,310,310,Astro,True,True,
midudev,midudev/last-time-visit,2023-12-13T18:27:16Z,65,65,TypeScript,True,True,
midudev,midudev/librecounter,2024-02-12T09:16:56Z,13,13,,True,True,gpl-3.0
midudev,midudev/libro-100-preguntas-sobre-javascript-issues,2021-04-12T11:02:04Z,33,33,,True,True,
midudev,midudev/libro-aprende-react-issues,2020-08-17T10:44:53Z,17,17,,True,True,
midudev,midudev/libro-aprendiendo-git-issues,2021-08-30T13:35:47Z,69,69,,True,True,
midudev,midudev/libro-descubre-svelte-issues,2022-04-09T10:30:55Z,10,10,,True,True,
midudev,midudev/libros-programacion-gratis,2022-11-24T15:06:32Z,3156,3156,,True,True,
midudev,midudev/loadingDots,2013-04-16T15:42:27Z,9,9,CSS,True,True,other
midudev,midudev/manitas.dev,2023-01-20T09:23:53Z,27,27,Astro,True,True,
